留言编号,留言用户,留言主题,留言时间,留言详情,反对数,点赞数
188251,A00013092,A7县特立路与东四路口晚高峰太堵，建议调整信号灯配时,2019/10/19 11:02:40,"
					
					近来，下午晚高峰五点半左右，经过特立路与东四路口时，东往西方向车越来越多，实在是太堵了，一般情况下至少两到三个信号灯才能通过，有时甚至堵到快到东五路了，建议调整晚高峰信号灯配时，增加东西方向绿灯时长10秒或以上。
					
					
				",0,0
188260,A00053484,A3区青青家园小区乐果果零食炒货公共通道摆放空调扰民,2019/5/31 17:06:13,"
					
					还我宁静我要复习迎考，大半年底商空调/冰柜外机轰响扰民A3区天顶街道青山新村社区青青家园小区乐果果零食炒货公共通道摆放空调/冰柜外机，持续大半年从早到晚，暂停启动如此反复循环，严重影响周边中高考生和业主的复习休息。
					
					
				",0,0
188396,A00047580,关于拆除聚美龙楚在西地省商学院宿舍旁安装变压器的请求,2019/4/15 16:23:09,"
					
					桐梓坡589号白鹤咀停车场，由聚美龙楚新能源公司建的“商学院新能源汽车充电站项目”。在没有任何告知的情况下，在商学院宿舍5栋外墙安装1000千伏安变压器。距离商学院宿舍5栋不到5米，距离A3区一小不到10米。违反了以下规定：1、《住宅建筑电气设计规范》4.2.3变压器外侧与住宅外墙间距不小于20米。2、《中小学校校园环境管理的暂行规定》第16条，任何单位和个人不允许在校门口200米范围内设置停车场。3违背了《备案项目承诺书》，不建在居住、文化教育功能区域。该充电站属于违法违规项目，并且欺骗政府，违背承诺书，对于周边4000多名小学生、大学生、居民，带来极大的电辐射污染、噪音污染、及消防隐患。请求进行拆除。
					
					
				",2,1
188399,A00097934,A市利保壹号公馆项目夜间噪声扰民,2019/7/3 6:23:25,"
					
					您好，我想举报 A市利保壹号公馆项目 夜间噪声扰民A市利保壹号公馆项目：位于A市A3区咸嘉湖路熊家湾巷1号，开发商：西地省德和房地产开发有限公司和西地省利保房地产开发公司，建筑施工方：中国建筑第五工程局有限公司西地省公司,自工地施工以来，经常半夜施工，且噪声污染极大，6.26-6.29日因为中非博览会，安静了几天，29日晚上开始，到目前30日凌晨2点还在施工中，且噪声极大，接近有80-100分贝，周边上万居民苦不堪言，投诉无门，打电话给城建服务热线12319/0000-00000000，说他们办理了“夜间施工许可证”，是环保局批复的，要我们找环保局。请问书记，项目施工 就算有 夜间施工许可证，也有规定 噪声不能超过55分贝，现在已经打到了80-100分贝，已经严重影响到了周边上万居民的夜间休息和睡眠，希望领导管管，谢谢!
					
					
				",0,0
188409,A0003274,A市地铁3号线星沙大道站地铁出入口设置极不合理！,2019/6/19 10:14:39,"
					
					尊敬的领导您好，我是A7县星沙街道的一个有两个孩子，上有老下有小的普通居民，更有部分居民直斥“A市地铁是跟钱走”虽然这些言论有所过激，但也反映了大家的强烈不满和担扰。近期关注地铁3号线进展情况，从网络上获悉地铁3号线星沙大道站共设置地铁出入口8个，在星沙大道与东一路之间不足400米的距离就占据了6个出入口（2号、3号、商业1号、商业2号、商业3号、商业4号），星沙大道站往东邻近的东四路站距离不足800米，而星沙大道站距离往西邻近的锦绣路站2.5公里却无任何站点及地铁出入口，我想问A市轨道交通及地铁3号线设计部门，处于锦绣路站和星沙大道站的楚天家园、山水人家、星沙一区、星沙二区、星沙三区、星沙四区、开源鑫阁、欣安小区、广场之星、晶华美地、大众传媒、A7县政府及各单位家属院宿舍等众多居民的出行他们是怎么考虑的，我们无论是跨过京港澳高速到锦绣路站乘车还是到星沙大道站乘车都很远都要跨过两三个路口，老人小孩出行极为不便，我们广大居民想问为什么不在县政府及人民广场设置1个出入口，这里人员密集，又是星沙重要的居民文化休息活动场所，又紧靠县委县政府政治中心。要在星沙大道与东一路不足400米的距离就设置6个出入口，而我们10几个小区加上10几个单位的居民在2.5公里范围内却一个出入口都没有？作为一个上有老下有小的家庭，我真诚地恳请政府为了我们市民的出行安全增建人民广场出入口，不胜感激！
					
					
				",0,4
188414,A00096844,A4区北辰小区非法住改商问题何时能解决？,2019/8/1 7:20:31,"
					
					您好！我是北辰D1区一名业主，近年来，我小区住改商数量达上百家，安全隐患大、甚至发生过火情（幸被及时扑灭）。小区业委会、物业和业主一直在进行住改商治理，并将其写入业主公约。近期，物业在业主委托下加强住改商清理措施，引起住改商群体反抗，发生多次堵门事件，严重影响业主生活，更是发生过恶意推搡、强行硬闯等事件，物业报警、警察来现场多数温和处理、不做太多干预；近两年也曾有“相关”部门或社区来小区做过摸底或劝退、查封，但行动均是“一阵风”，时间短、力度小、效果甚微。住改商数量如此之多，业主和物业靠自己的力量劝退、禁止，非常容易引起纠纷甚至恶性事件，且非法住改商问题很难得到有效解决。请问我们市民，究竟能否获得政府更大力度的支持？是否有政府部门真正能够管起非法住改商，还我们一个安全的家园？
					
					
				",0,0
188416,A00029753,请给K3县乡村医生发卫生室执业许可证,2019/06/20 20:38:47,"
					
					K3县的乡村卫生室现在大多处于无证行医的状态。造成这种情况原因的是。卫生室的医疗机构许可证。早就过期两年了，卫生局迟迟不发放新的执业许可证。许多村医已经上交了换证的100元钱，但是就不见证件发下来。就算现在村村合并，但是你好歹也发一个新村的是证件下来啊。有些老村医反映几个月了，迟迟不见上级出来回复，究竟是什么原因呢，就是要消灭卫生室的话，你也要给一个合理的原因啊。这难道就是典型的懒政不作为吗？上级，请来重视一下吧。以上情况是真是假，请您到村里调查一下就明白了。看看墙上挂的证件到底是新是旧。
					
					
				",0,0
188451,A00013004,A7县春华镇石塘铺村有党员家开麻将馆,2019/4/11 17:54:25,"
					
					我是春华镇一名村民，最近接到政府的通知，029县道旁不能开麻将馆，警察上门通知了我们家，我也按通知关门了。但是石塘铺村胡海山党员家可以正常营业，他家离029县道不到100米，这难道合乎情理吗？普通人家开麻将馆就不可以？
					
					
				",0,2
188455,A00035902,咨询异地办理出国签证的问题,2019/5/16 15:20:43,"
					
					书记您好！我是外地人，2018年毕业后落户A市，请问申请短期出国旅游签证的话，是否需要回到原来的户籍所在地办理呢？还是可以直接在A市办理？如果可以在A市办的话，烦请告知办理的地址和所需材料，谢谢。
					
					
				",0,0
188467,A00050188,投诉A市温斯顿英语培训学校拖延退费！,2019/3/28 19:57:19,"
					
					退费之日起3个月之内要退还一切学习费用！于今日已经超过了3个月的合同期还一直未给我退费！每次去学校都是推辞的态度！去了3次每次都是领导没在，有流程要走！试问一个什么流程走了3个多月还没有走完？明显就是在推脱耍无赖！
					
					
				",0,1
188475,A00055810,A6区乾源国际广场停车场违章乱建现象严重,2019/12/3 15:04:58,"
					
					A市A6区月亮岛街道的乾源国际广场停车场违章乱建现象严重。小区底商的商铺买了车位然后把车位砌围墙再把里面打通当做商铺面积使用，造成安全隐患。希望A6区城管部门能够关注。
					
					
				",0,0
188535,A00061775,A7县时代星城4幢有非法经营的家庭旅馆,2019/6/13 15:28:44,"
					
					尊敬的各位领导A7县时代星城小区4幢1321室一直非法存在着一家家庭旅馆，作为纯住宅小区，该旅馆没有征集其他利益相关业主的同意非法住改商，楼栋里暗藏着20几间旅馆房间，进出人员混乱复杂，十分扰民。本月初电视台曾对该酒店曝光，但是至今没有相关职能部门前来查处。恳请相关领导和职能部门取缔该非法旅馆，还小区居民一片安宁。
					
					
				",0,0
188546,A0006817,A2区佳兆业水新都小区垃圾无人处理,2019/1/23 13:09:19,"
					
					敬爱的领导：你好，我是佳兆业水新都一期小区业主。我小区43栋101户违建房屋拆除后建筑垃圾一直无人清运，此建筑垃圾存在一年有余，周边小区业主反映多次，但是一直未能解决，现在天气逐渐变暖，旁边散发出恶臭，望政府及时解决此问题，还老百姓一个蓝天白云的生活坏境。
					
					
				",0,0
188553,A00092239,A市沙坪老街上有无证理疗馆骗取老人钱财,2019/6/6 21:58:22,"
					
					在沙坪老街上有一家无证经营的理疗馆，打着给老人们免费做健康理疗的幌子，实为销售“食”字号的食品，骗取老人们钱财。这家理疗馆在沙坪老街上存在多年了，一直打着免费理疗的幌子骗老人们去做所谓的什么健康理疗，实际上是骗老人们去听课，洗脑，推销他们所谓的高价格的能治各种疾病的保健食品。上一辈的老人们，大多数文化水平低下，对于这些食品缺乏一定的辨识，年纪大了也难免有各种各样的病痛，面对理疗馆那些悉心编排的花言巧语很容易就接受上当了。据我所了解的，他们什么松花粉，灵芝孢子软胶囊等给老人们灌输这个病吃着好，那个病吃着好，包治百病似的，淳朴善良而又缺乏辨识力的老人们挡不住糖衣炮弹的攻击，纷纷中弹，少者几百，多者几千几万的购买。心痛啊，为嗲嗲娭毑们的愚昧感到心痛啊，这是养老钱，这是疾病来时的救命钱，全被骗去买了这些“灵丹妙药”，真正的疾病来了该怎么办呢？鄙视理疗馆的骗子，都是爹生娘养的，面对这些老人，你于心何忍？恳请A4区药食监，工商部门能够迅速出动，彻查这家理疗馆，避免更多的老人们上当受骗！！！
					
					
				",0,0
188560,A00075321,A市德鸿餐饮店拖欠工资，员工维权难,2019/10/6 15:01:36,"
					
					a我姐杜四娇在贵区管辖范围内德鸿餐饮打工五年，在2019年3月19日开除。在此五年期间未给劳动者缴纳五险一金，现在不仅不给经济补偿，甚至连二月份和三月份部分工资都不给与支付。到G1区仲裁院要求仲裁，按仲裁院要求备齐相应材料后，结果告知我姐己超龄，不具备仲裁。在此，我想问一下，即然不具备仲裁，为何又要求备齐相应材料？要知道备齐相应材料对于我姐来说，就好象刘佬佬进入大花园下知所措！即使不具备仲裁，为什么又不出具不予受理书？被告单位负责人周永底气十足要我去劳动局维权其用意何解？其本质就是与黑心商家德鸿餐饮沆瀣一气，认为我姐一农村女人象踩稀泥一样可以乱踩。b本人上诉G市论坛，西地省平台后，G1区劳动监察受理此案。在办案期间，办案人员公然在被告单位吃喝二次，恐吓我姐，如果不同意处理结果，三年不给与结案，同时将追究你弟不实言论的法律责任，可怜的我姐在威胁，恐吓下在案件上签字，并且在和解协议书签字画押。c劳动监察的职责按国家的法律，法规进行监督，检查。具有公法性，强制性，不允许劳动者和用人单位私下和解，不让用人单位逃脱法律的惩罚。劳动监察大队让劳动者在和解协议书上签字是不是知法犯法？对被告单位下达整改通知书是不是一纸空文？整改结果又如何？d本人对其处理结果严重不服，处理结果有二：一工资支付，二社保追缴。工资现己支付到位，社保追缴因社保机构不能补缴而不了了之。作为监察部门明知社保不能补缴，立案追补是不是走形式，走过趟。在案件上，在和解协议书上签字的结果就是支付工资？e本人的要求按照国家的法律法规，追缴应得的利益，上诉到相关部门和领导，最后辗转到原处一一G1区人社局。G1区人社局用此案己结，并且和解协议书签字为由，敷衍上级部门和领导，此案件同《西地省洞庭湖矮围事件》何其相似！这就是典型的上瞒下欺。f本案处理初期，因生活奔波，本人做人留一线的原则，给G1区劳动监察大队堂堂的大队长发了几次信息，其本意希望早早了结此事，其结果堂堂的大队长说是要求他以职务的便利处罚德鸿餐饮，扬言将保留所有证据，以捏造，造谣，诽谤罪起诉我。在此借助G市论坛网，西地省平台等网络平台，肯请谭大队长保留信息，证据，并公布出来，起诉我，本人电话*****************.我姐为人老实，木讷，可以踩稀泥一样任意踩踏我姐，并且用威胁，恐吓的手段让我姐签字画押，用同样的手段，在G1区纪委姓赵的工作人员面前，嚣张跋扈地表示将保留信息，搜集证据，并且以党性和职务发誓他的工作人员在办案期间从未在被告单位吃喝二次。在此，我想提醒堂堂的G1区劳动监察大队谭大队长：不要动不动以党性发誓，并不能代表党性，如果真要这样。可以用自己的职务发誓么？在G1区纪委姓赵的工作人员面前没有以捏造，造、滛，诽谤罪等名义威胁，恐吓追究我的法 律责任。补充说明有没有说过这样的话，并不是真的有没有吃喝这样的 事。? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ??g我会以事实为依据，以法律为准绳逐级逐部门依次上诉（G1区纪委除外，因为G1区纪委将行政不作为定性为临门一脚欠佳，最后一公里未打通。把对本人的威胁，恐吓定性为G1区人社局领导情绪失控）。我就不信正义得不到伸张，黑心商家得不到制裁，违纪人员得不到处份。杜萍
					
					
				",0,0
188592,A00039456,A市长房云时代小区三期后面要建垃圾站？,2019/6/18 10:38:44,"
					
					长房云时代小区于今年5月底开盘，6月初摇号选房，可就在6月10号左右，有业主观察到19#后面有类似垃圾站的建筑物，经各方咨询后开发商说是小学的垃圾站。6月15号，顶着炎热的太阳，部分业主一起来到长房云时代的售楼部，与开发商商量该垃圾站的处理问题，可没结果，开发商明确拒绝了垃圾站的朝向及地址度不会改变。是在红线外，无义务告知三期业主。可去实地看过的业主都知道，该垃圾站；离19.18栋住宅都只有10多米，垃圾站朝向小区，试问，炎热的夏天没臭味？经一些三期业主咨询，规划局回电此垃圾站于2017年就已规划，可经过广大业主查看规划图，均并未告知有此垃圾站的存在，该行为触犯了业主的知情权，且根据三期各栋数的房价来看，19栋价格是最高的，试问，谁会愿意花最高的价格来买一套离垃圾站不到20m的房子。作为打工族，大家为了买房都十分的不容易。可是在我们合同还没签订就需要维权，这有点让人无法相信这是长房的楼盘。
					
					
				",0,0
188665,A000106234,A市松雅湖东方航标2栋2楼有传销窝点,2019/3/26 0:18:26,"
					
					您好?谢谢您能在百忙之中看到这份留言?首先要非常感谢???在松雅西地省边几个小区里面有传销?我记得特别清楚?东方航标2栋?2楼就有一个传销窝点?我在北京工作?这两天来A市找同学来玩?本来是抱着旅游?娱乐的心情来的?但?第二天?我那个同学就说要带我去见一个朋友?我也没想就跟着去了?结果?交了那个朋友之后?先寒嘘问暖一下后?就开始讲起来他们的“生意”?恩?投入十多万两三年后?收入一千多万?这不就是传销吗?问题是我还被我同学拉这上午见了两个下午又见了两个?这不就是明摆着洗脑吗?据说以后这三四天还要继续见面?继续洗脑?反正我这个同学是刚刚进去?还不算太深?但这个传销?太害人了?真的??希望您们能尽量处理掉?省的让更多人踏入这个陷阱谢谢您们了?
					
					
				",0,1
188679,A000103846,希望A市政府出台解决落实退休教师各项补贴的长效办法,2019/12/19 12:48:05,"
					
					2019年12月18日上午九点，A市01年11所下区中学退休教师代表30余人在市教育局一楼会议室召开了关于要求落实17、18年度单位文明奖的协调会，市局财务处何处长、信访办负责人接待了大家；市五区区政府都派岀了本区工作人员参加了旁听。市局何处长作了简要发言，其内容都是要求市五区政府按市本级标准发放01年后退休教师的文明单位奖、各项补贴、年终奖及安排等事项。说得好，安排也不错，因财务权把握在各区政府之手，能否落实到位，恐怕还有居多不确定因素涵盖其中！下区十几年来这类事情均是屡屡发生，因此自11所中学下区后便出现了连续不断的上访、诉求的维权行为，这些年来从未终止，严重影响了政府的执政形象。我们衷心希望市政府出台一解决这类问题的长效办法，不再使这些耄耋老者继续遭受折腾和折磨！下面转载昨天会上退休教师的发言稿各位领导：你们好！为了我们的事你们费心了，辛苦了！我们心里是明白的，也是感激的！今天我们为什么要来市教育局，大家都心知肚明，我就不多说其他的了，首先我想讲讲我们来的心情：我们这些人有两个特点一、我们是老教师，前面几十年，我们拿着几十元一月的工资，干着比现在拿几千元的人的活，我们没有怨言，我们为党的教育亊业作出了贡献；现在情况有了好转，但夕阳无限好、可惜近黄昏，我们都是耄耋之年的老爷老太了，留给我们的日子已不多了！希望社会和领导能善待我们，使我们安享晚年，莫再折腾我们，象现在这样年年维权讨福利的日子我们真的不想要，我们只希望能顺利地拿回本应属于我们的那部分。二、我们是几十年的老党员，我们深深地爱着自己的党，希望我们的国家繁荣、富强、长治久安！十几年的的诉求、上访、请愿这不是我们愿意的！有些同志希望在一些敏感的日期去市政府请愿，如建国日、国检等，这样做虽然起的作用会要大一些，但给党和政府造成的负面影响相应更会大，我们通过交流、做工作改变了他们的意图。我们希望领导本着党的初心理解我们，真正为我们解决问题，莫再年年折腾；我们真不相信有国家的教师法、有下区时的承诺，为什么就不能顺利的解决我们这批01年下区后退休教师的福利问题，问题的症结到底在那里？！有些领导同志不遵法、不守法不知还是不是党的干部？十八年了，我们年年上访、求诉、请愿，何日是个头！？不平则呜，堵是堵不住的，我们切望市政府领导下决心，无论是整体解决还是按照01年下区之前的退休教师的方案解决都要拿出一个切实解决问题的办法，这种有法不依的执政行为不能再继续下去了！对60号文件的这些年来的执行情况市教育局代表市政府的给老师们作了个令大家极度不满意的回复！60号文件除了将我们11所原市属中学下了区之外还执行了什么？十八年了，市管高中、区管初中落实了吗？回复表述“是市政府的重大决策，必须一以贯之，坚持落实，任何人任何部门都不能随意调整和改变”，一桩桩、一件件具体事例就摆你的眼皮底下，这种回复算什么？为了促进义务教育的均衡发展，新办市属初中的出现使得区属初中招生日渐困难，市属和区属的待遇差距，使得区属初中骨干教师大量流失，严重影响了教育教学质量的稳定和提高；市区学生家长逐渐失去了对区办中学的信用而择校，名校办初中掏空了不少家长的钱袋子。以前只是高中择校屡禁不止，而初中基本上还能划片招生就近入学，而现在初中择校成风，这是促进了义务教育的均衡发展吗？“60号文件正确与否将要经受时间的检验”。十八年过去了，时间已经作了回答，我们希望现任市政府、市教育局领导能本着实事求是的精神，以事实为依据，对60号文件作出客观的评价，莫用大话、空话及套话来忽悠我们！2019.12.19.
					
					
				",0,5
188691,A00036601,举报A市仕弘教育等培训机构涉嫌欺诈,2019/7/11 15:21:58,"
					
					黄兴路步行街“仕弘教育”，A市晚报大厦八楼“前程优学”，借可确保高考考生取得中南大学综合评价招录面试资格为嘘头，虚假宣传，不实承诺，不到三天收取所谓面试培训费近7000元，并信誓旦旦能确保报名参加培训的考生能进入面试。但最后却以考生分数不够为由，把责任和后果全部推给考生和家长，涉嫌欺诈。请相关主管职能部门查处，并取缔此类不良机构。
					
					
				",0,1
188774,A00048792,A2区政府东门至万芙路段经常有改装车飙车，真的很扰民,2019/6/18 23:03:31,"
					
					多年来A2区迎新路区政府东门至万芙路段经常有改装车飙车，在高考期间也没停止过，近两天有加剧的趋势，前天和昨天晚上连续飙车达一个小时之久，发动机的蜂鸣声和刹车声让周边的百姓苦不堪言，而且还投诉无门，多次拨打A2区交警大队的电话（0000-00000000通过114查号台查到）不是占线就是无人接听。在限速40的城市道路和居民密集区飙车是一种非常危险的行为，而且在此中考期间对广大考生的睡眠也是非常大的干扰，不知道要找城管还是交警部门来进行处理。
					
					
				",0,0
